Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,734.000000,758.500000,661.700012,722.599976,709.538696,9621511
2022-02-01,721.000000,738.500000,625.000000,659.900024,647.972046,9529756
2022-03-01,659.000000,675.200012,543.900024,649.400024,637.661865,14307169
2022-04-01,650.200012,667.500000,603.099976,619.500000,608.302246,7784041
2022-05-01,614.400024,619.000000,537.500000,597.200012,593.150085,10852344
2022-06-01,601.400024,620.900024,535.000000,581.700012,577.755188,9723806
2022-07-01,577.200012,680.099976,567.599976,675.000000,670.422485,7858721
2022-08-01,671.900024,708.400024,647.500000,647.500000,643.108948,7235585
2022-09-01,635.200012,668.900024,595.700012,610.400024,606.260559,8631099
2022-10-01,601.000000,663.599976,594.700012,639.000000,634.666626,7799217
2022-11-01,652.000000,737.299988,623.599976,737.299988,732.299988,9380794
2022-12-01,736.900024,739.400024,676.099976,682.900024,678.268921,5635690
